Index       FREQ           Re(V(OUT))        Im(V(OUT))         Re(V(IN))         Im(V(IN))    
71       3.54813389e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
72       3.98107171e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
73       4.46683592e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
74       5.01187234e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
75       5.62341325e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
76       6.30957344e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
77       7.07945784e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
78       7.94328235e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
79       8.91250938e+03   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
80       1.00000000e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
81       1.12201845e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
82       1.25892541e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
83       1.41253754e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
84       1.58489319e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
85       1.77827941e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
86       1.99526231e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
87       2.23872114e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
88       2.51188643e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
89       2.81838293e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
90       3.16227766e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
91       3.54813389e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
92       3.98107171e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
93       4.46683592e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
94       5.01187234e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
95       5.62341325e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
96       6.30957344e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
97       7.07945784e+04   -9.51128963e+00    0.00000000e+00    1.00000000e+00    0.00000000e+00
